id,genreName,gereId,genre2Name,genre2Id,branchNo,kindNo,skillName,explanation,category,rarity,activeCondition1,activeCondition2,activeCondition3,activeCondition4,activeCondition5,activeCondition6,activeCondition7,activeCondition8,activeCondition9,activeCondition10,effect1,effect2,effect3,effect4,effect5,effect6,effect7,effect8,effect9,effect10,wisepoint,getpoint,evaluationPoint
1,パッシブスキル,1,スピード,1,1,0,右回り◎,右回りコースが得意になる,パッシブ,R,右回り,スピード,,,,,,,,,-,-,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
2,パッシブスキル,1,スピード,1,1,0,右回り○,右回りコースが少し得意になる,パッシブ,R,右回り,スピード,,,,,,,,,40,-,-,-,-,-,-,-,-,-,なし,90Pt,129Pt
3,パッシブスキル,1,スピード,1,1,3,右回り×,右回りコースが少し苦手になる,パッシブ,R,右回り,スピード,,,,,,,,,-40,-,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
4,パッシブスキル,1,スピード,1,1,0,左回り◎,左回りコースが得意になる,パッシブ,R,左回り,スピード,,,,,,,,,60,-,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
5,パッシブスキル,1,スピード,1,1,0,左回り○,左回りコースが少し得意になる,パッシブ,R,左回り,スピード,,,,,,,,,40,-,-,-,-,-,-,-,-,-,なし,90Pt,129Pt
6,パッシブスキル,1,スピード,1,1,0,左回り○,左回りコースが少し得意になる,パッシブ,R,左回り,スピード,,,,,,,,,40,-,-,-,-,-,-,-,-,-,なし,90Pt,129Pt
7,パッシブスキル,1,スピード,1,1,3,左回り×,左回りコースが少し苦手になる,パッシブ,R,左回り,スピード,,,,,,,,,-40,-,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
8,パッシブスキル,1,スピード,1,1,0,春ウマ娘◎,春のレースが得意になる,パッシブ,R,季節,春,,,,,,,,,OR,季節,春（桜）,スピード,60,-,-,-,-,-,なし,110Pt,174Pt
9,パッシブスキル,1,スピード,1,1,0,春ウマ娘×,春のレースが少し苦手になる,パッシブ,R,季節,春,,,,,,,,,OR,季節,春（桜）,スピード,-40,-,-,-,-,-,なし,50Pt,-129Pt
10,パッシブスキル,1,スピード,1,1,2,春一番,春のレースが得意になり スピードとパワーが上昇する,パッシブ,SR,季節,春,,,,,,,,,OR,季節,春（桜）,スピード,60,パワー,60,-,-,-,なし,130Pt,461Pt
11,パッシブスキル,1,スピード,1,1,0,夏ウマ娘◎,夏のレースが得意になる,パッシブ,R,季節,夏,,,,,,,,,スピード,60,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
12,パッシブスキル,1,スピード,1,1,0,夏ウマ娘○,夏のレースが少し得意になる,パッシブ,R,季節,夏,,,,,,,,,スピード,40,-,-,-,-,-,-,-,-,なし,90Pt,129Pt
13,パッシブスキル,1,スピード,1,1,3,夏ウマ娘×,夏のレースが少し苦手になる,パッシブ,R,季節,夏,,,,,,,,,スピード,-40,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
14,パッシブスキル,1,スピード,1,1,0,秋ウマ娘◎,秋のレースが得意になる,パッシブ,R,季節,秋,,,,,,,,,スピード,60,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
15,パッシブスキル,1,スピード,1,1,0,秋ウマ娘○,秋のレースが少し得意になる,パッシブ,R,季節,秋,,,,,,,,,スピード,40,-,-,-,-,-,-,-,-,なし,90Pt,129Pt
16,パッシブスキル,1,スピード,1,1,3,秋ウマ娘×,秋のレースが少し苦手になる,パッシブ,R,季節,秋,,,,,,,,,スピード,-40,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
17,パッシブスキル,1,スピード,1,1,2,初嵐,秋のレースが得意になり スピードとパワーが上昇する,パッシブ,SR,季節,秋,,,,,,,,,スピード,60,パワー,60,-,-,-,-,-,-,なし,130Pt,461Pt
18,パッシブスキル,1,スピード,1,1,0,冬ウマ娘◎,冬のレースが得意になる,パッシブ,R,季節,冬,,,,,,,,,スピード,60,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
19,パッシブスキル,1,スピード,1,1,0,冬ウマ娘○,冬のレースが少し得意になる,パッシブ,R,季節,冬,,,,,,,,,スピード,40,-,-,-,-,-,-,-,-,なし,90Pt,129Pt
20,パッシブスキル,1,スピード,1,1,3,冬ウマ娘×,冬のレースが少し苦手になる,パッシブ,R,季節,冬,,,,,,,,,スピード,-40,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
21,パッシブスキル,1,スピード,1,1,0,外枠得意◎,枠番が6～8のレースが得意になる,パッシブ,R,枠順,6番以降,,,,,,,,,スピード,60,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
22,パッシブスキル,1,スピード,1,1,0,外枠苦手,枠番が6～8のレースが少し苦手になる,パッシブ,R,枠順,6番以降,,,,,,,,,スピード,-40,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
23,パッシブスキル,1,スピード,1,1,0,おひとり様◎,自分と同じ作戦のウマ娘がいないと 能力をすごく発揮しやすい,パッシブ,R,自分と同じ作戦がいない,-,,,,,,,,,スピード,80,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
24,パッシブスキル,1,スピード,1,1,0,おひとり様○,自分と同じ作戦のウマ娘がいないと 能力を発揮しやすい,パッシブ,R,自分と同じ作戦がいない,-,,,,,,,,,スピード,60,-,-,-,-,-,-,-,-,なし,90Pt,129Pt
25,パッシブスキル,1,スピード,1,1,0,伏兵◎,4番人気以下のレースで 能力を発揮しやすい,パッシブ,R,人気,4番人気以降,,,,,,,,,スピード,60,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
26,パッシブスキル,1,スピード,1,1,0,GⅠ苦手,GⅠなどの大舞台のレースが 少し苦手になる,パッシブ,R,レースの格式,G1,,,,,,,,,スピード,-40,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
27,パッシブスキル,1,スピード,1,1,0,シンパシー,シンパシーの心を持つウマ娘が多い レースだと少し能力が上がる,パッシブ,R,同じスキルを所持,5人以上,,,,,,,,,スピード,40,-,-,-,-,-,-,-,-,なし,70Pt,129Pt
28,パッシブスキル,1,スピード,1,1,0,一匹狼,自分だけが一匹狼の心を持つレースで 少し能力が上がる,パッシブ,R,同じスキルを所持,1人,,,,,,,,,スピード,40,-,-,-,-,-,-,-,-,なし,70Pt,129Pt
29,パッシブスキル,1,スピード,1,1,0,凸凹ネイル,「良」のバ場状態が少し苦手になる,パッシブ,R,バ場状態,良,,,,,,,,,スピード,-40,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
30,パッシブスキル,1,スピード,1,1,0,変わらぬままで,かつての走りとは違うがあの頃と 変わらない想いが能力をすごく上げる,パッシブ,SR,季節,冬,,,,,,,,,スピード,80,-,-,-,-,-,-,-,-,なし,-,0Pt
31,パッシブスキル,1,スピード,1,1,0,夢の景色へ,見たい景色を必死に追いかけ 能力が少し発揮しやすくなる,パッシブ,R,条件なし,-,,,,,,,,,スピード,40,-,-,-,-,-,-,-,-,なし,-,0Pt
32,パッシブスキル,1,スピード,1,1,0,拡がる恐れ,トレーナーの恐れが伝播し 能力が少し発揮しにくくなる,パッシブ,R,条件なし,-,,,,,,,,,スピード,-40,-,-,-,-,-,-,-,-,なし,-,0Pt
33,パッシブスキル,1,スピード,1,1,0,未知への走りを見せてくれ,次のステージを見せてくれる 期待を伝えてサイレンススズカの 能力を少し発揮しやすくさせる,パッシブ,R,対象キャラクターが存在する,-,,,,,,,,,スピード,40,-,-,-,-,-,-,-,-,なし,-,0Pt
34,パッシブスキル,1,スピード,1,1,0,胸を張れダービーウマ娘,日本一のウマ娘に 一歩近づけた手ごたえにより 能力が少し発揮しやすくなる,パッシブ,R,条件なし,-,,,,,,,,,スピード,40,-,-,-,-,-,-,-,-,なし,-,0Pt
35,パッシブスキル,1,スタミナ,2,1,0,東京レース場◎,東京レース場が得意になる,パッシブ,R,レース場,東京レース場,,,,,,,,,スタミナ,60,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
36,パッシブスキル,1,スタミナ,2,1,0,東京レース場○,東京レース場が少し得意になる,パッシブ,R,レース場,東京レース場,,,,,,,,,スタミナ,40,-,-,-,-,-,-,-,-,なし,90Pt,129Pt
37,パッシブスキル,1,スタミナ,2,1,3,東京レース場×,東京レース場が少し苦手になる,パッシブ,R,レース場,東京レース場,,,,,,,,,スタミナ,-40,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
38,パッシブスキル,1,スタミナ,2,1,0,中山レース場◎,中山レース場が得意になる,パッシブ,R,レース場,中山レース場,,,,,,,,,スタミナ,60,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
39,パッシブスキル,1,スタミナ,2,1,0,中山レース場○,中山レース場が少し得意になる,パッシブ,R,レース場,中山レース場,,,,,,,,,スタミナ,40,-,-,-,-,-,-,-,-,なし,90Pt,129Pt
40,パッシブスキル,1,スタミナ,2,1,3,中山レース場×,中山レース場が少し苦手になる,パッシブ,R,レース場,中山レース場,,,,,,,,,スタミナ,-40,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
41,パッシブスキル,1,スタミナ,2,1,0,阪神レース場◎,阪神レース場が得意になる,パッシブ,R,レース場,阪神レース場,,,,,,,,,スタミナ,60,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
42,パッシブスキル,1,スタミナ,2,1,0,阪神レース場○,阪神レース場が少し得意になる,パッシブ,R,レース場,阪神レース場,,,,,,,,,スタミナ,40,-,-,-,-,-,-,-,-,なし,90Pt,129Pt
43,パッシブスキル,1,スタミナ,2,1,0,阪神レース場×,阪神レース場が少し苦手になる,パッシブ,R,レース場,阪神レース場,,,,,,,,,スタミナ,-40,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
44,パッシブスキル,1,スタミナ,2,1,0,京都レース場◎,京都レース場が得意になる,パッシブ,R,レース場,京都レース場,,,,,,,,,スタミナ,60,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
45,パッシブスキル,1,スタミナ,2,1,0,京都レース場○,京都レース場が少し得意になる,パッシブ,R,レース場,京都レース場,,,,,,,,,スタミナ,40,-,-,-,-,-,-,-,-,なし,90Pt,129Pt
46,パッシブスキル,1,スタミナ,2,1,2,京都レース場×,京都レース場が少し苦手になる,パッシブ,R,レース場,京都レース場,,,,,,,,,スタミナ,-40,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
47,パッシブスキル,1,スタミナ,2,1,2,淀の申し子,京都レース場が得意になり スタミナと賢さが上昇する,パッシブ,SR,レース場,京都レース場,,,,,,,,,スタミナ,60,賢さ,60,-,-,-,-,-,-,なし,130Pt,461Pt
48,パッシブスキル,1,スタミナ,2,1,0,中京レース場◎,中京レース場が得意になる,パッシブ,R,レース場,中京レース場,,,,,,,,,スタミナ,60,-,-,-,-,-,-,-,-,なし,110Pt,174Pt
49,パッシブスキル,1,スタミナ,2,1,0,中京レース場○,中京レース場が少し得意になる,パッシブ,R,レース場,中京レース場,,,,,,,,,スタミナ,40,-,-,-,-,-,-,-,-,なし,90Pt,129Pt
50,パッシブスキル,1,スタミナ,2,1,0,中京レース場×,中京レース場が少し苦手になる,パッシブ,R,レース場,中京レース場,,,,,,,,,スタミナ,-40,-,-,-,-,-,-,-,-,なし,50Pt,-129Pt
51,パッシブスキル,1,スタミナ,2,1,0,札幌レース場◎,札幌レース場が得意になる,パッシブ,R,レース場,札幌レース場,,,,,,,,,スタミナ,60,-,-,-,-,-,-,-,-,なし,90Pt,174Pt
52,パッシブスキル,1,スタミナ,2,1,0,札幌レース場○,札幌レース場が少し得意になる,パッシブ,R,レース場,札幌レース場,,,,,,,,,スタミナ,40,-,-,-,-,-,-,-,-,なし,70Pt,129Pt
53,パッシブスキル,1,スタミナ,2,1,3,札幌レース場×,札幌レース場が少し苦手になる,パッシブ,R,レース場,札幌レース場,,,,,,,,,スタミナ,-40,-,-,-,-,-,-,-,-,なし,40Pt,-129Pt
