_id,addTime,attendanceId,day,deleteFlag,endDateTime,restEndTime,restStartTime,startTime,updateTime,userId,yearMonth
61b9e0790da1c3893c3712ad,1970-01-01T00:00:00.000Z,1,1,false,2021-08-01T10:00:00.000Z,2021-08-01T05:00:00.000Z,2021-08-01T04:00:00.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712ae,2021-07-31T15:00:00.000Z,2,2,false,2021-08-02T10:00:01.000Z,2021-08-01T05:00:01.000Z,2021-08-01T04:00:01.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712af,2021-07-31T15:00:00.000Z,3,3,false,2021-08-03T10:00:02.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712b0,2021-07-31T15:00:00.000Z,4,4,false,2021-08-04T10:00:03.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712b1,2021-07-31T15:00:00.000Z,5,5,false,2021-08-05T10:00:04.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712b2,2021-07-31T15:00:00.000Z,6,6,false,2021-08-06T10:00:05.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712b3,2021-07-31T15:00:00.000Z,7,7,false,2021-08-07T10:00:06.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712b4,2021-07-31T15:00:00.000Z,8,8,false,2021-08-08T10:00:07.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712b5,2021-07-31T15:00:00.000Z,9,9,false,2021-08-09T10:00:08.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712b6,2021-07-31T15:00:00.000Z,10,10,false,2021-08-10T10:00:09.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712b7,2021-07-31T15:00:00.000Z,11,11,false,2021-08-11T10:00:10.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712b8,2021-07-31T15:00:00.000Z,12,12,false,2021-08-12T10:00:11.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712b9,2021-07-31T15:00:00.000Z,13,13,false,2021-08-13T10:00:12.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712ba,2021-07-31T15:00:00.000Z,14,14,false,2021-08-14T10:00:13.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
61b9e0790da1c3893c3712bb,2021-07-31T15:00:00.000Z,15,15,false,2021-08-15T10:00:14.000Z,2021-08-01T05:00:02.000Z,2021-08-01T04:00:02.000Z,10,2021-08-01T14:59:59.000Z,1,202108
